Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Taiwan,Consumer Confidence,2009-03-31T00:00:00,49.11,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2009-04-30T00:00:00,49.79,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2009-05-31T00:00:00,52.11,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2009-06-30T00:00:00,51.44,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2009-07-31T00:00:00,56.18,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2009-08-31T00:00:00,53,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2009-09-30T00:00:00,56.45,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2009-10-31T00:00:00,60.56,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2009-11-30T00:00:00,62.47,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2009-12-31T00:00:00,65.39,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2010-01-31T00:00:00,65.98,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2010-02-28T00:00:00,73.16,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2010-03-31T00:00:00,74.33,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2010-04-30T00:00:00,78.68,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2010-05-31T00:00:00,76,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2010-06-30T00:00:00,77.8,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2010-07-31T00:00:00,78.64,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2010-08-31T00:00:00,79.16,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2010-09-30T00:00:00,80.14,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2010-10-31T00:00:00,80.19,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2010-11-30T00:00:00,81.66,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2010-12-31T00:00:00,83.16,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2011-01-31T00:00:00,86.78,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2011-02-28T00:00:00,85.89,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2011-03-31T00:00:00,83.66,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2011-04-30T00:00:00,85.78,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2011-05-31T00:00:00,85.4,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2011-06-30T00:00:00,85.28,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2011-07-31T00:00:00,86.84,Monthly,TaiiwanCondence,2013-09-24T15:08:00
