Entity,Code,Date,grocery_and_pharmacy
Antigua and Barbuda,ATG,2020-04-25,-44
Antigua and Barbuda,ATG,2020-04-26,-43
Antigua and Barbuda,ATG,2020-04-27,-41.429
Antigua and Barbuda,ATG,2020-04-28,-39.429
Antigua and Barbuda,ATG,2020-04-29,-36.857
Antigua and Barbuda,ATG,2020-04-30,-36.143
Antigua and Barbuda,ATG,2020-05-01,-35.286
Antigua and Barbuda,ATG,2020-05-02,-34.143
Antigua and Barbuda,ATG,2020-05-03,-32.571
Antigua and Barbuda,ATG,2020-05-04,-35
Antigua and Barbuda,ATG,2020-05-05,-33.714
Antigua and Barbuda,ATG,2020-05-06,-32.143
Antigua and Barbuda,ATG,2020-05-07,-31.857
Antigua and Barbuda,ATG,2020-05-08,-30.857
Antigua and Barbuda,ATG,2020-05-09,-29.857
Antigua and Barbuda,ATG,2020-05-10,-29.286
Antigua and Barbuda,ATG,2020-05-11,-25.571
Antigua and Barbuda,ATG,2020-05-12,-25.714
Antigua and Barbuda,ATG,2020-05-13,-27
Antigua and Barbuda,ATG,2020-05-14,-26.571
Antigua and Barbuda,ATG,2020-05-15,-26.286
Antigua and Barbuda,ATG,2020-05-16,-26
Antigua and Barbuda,ATG,2020-05-17,-26.429
Antigua and Barbuda,ATG,2020-05-18,-25.714
Antigua and Barbuda,ATG,2020-05-19,-25
Antigua and Barbuda,ATG,2020-05-20,-24
Antigua and Barbuda,ATG,2020-05-21,-23.714
Antigua and Barbuda,ATG,2020-05-22,-23.571
Antigua and Barbuda,ATG,2020-05-23,-22.857
Antigua and Barbuda,ATG,2020-05-24,-22.571
Antigua and Barbuda,ATG,2020-05-25,-22.429
Antigua and Barbuda,ATG,2020-05-26,-22.714
Antigua and Barbuda,ATG,2020-05-27,-22.429
Antigua and Barbuda,ATG,2020-05-28,-22
Antigua and Barbuda,ATG,2020-05-29,-20.857
Antigua and Barbuda,ATG,2020-05-30,-20
Antigua and Barbuda,ATG,2020-05-31,-18.429
Antigua and Barbuda,ATG,2020-06-01,-21.286
Antigua and Barbuda,ATG,2020-06-02,-19.857
Antigua and Barbuda,ATG,2020-06-03,-19.429
Antigua and Barbuda,ATG,2020-06-04,-19
Antigua and Barbuda,ATG,2020-06-05,-19.571
Antigua and Barbuda,ATG,2020-06-06,-20.429
Antigua and Barbuda,ATG,2020-06-07,-21.286
Antigua and Barbuda,ATG,2020-06-08,-18.286
Antigua and Barbuda,ATG,2020-06-09,-19.286
Antigua and Barbuda,ATG,2020-06-10,-20.429
Antigua and Barbuda,ATG,2020-06-11,-21
Antigua and Barbuda,ATG,2020-06-12,-20.857
Antigua and Barbuda,ATG,2020-06-13,-20.714
Antigua and Barbuda,ATG,2020-06-14,-21
Antigua and Barbuda,ATG,2020-06-15,-20.571
Antigua and Barbuda,ATG,2020-06-16,-20.429
Antigua and Barbuda,ATG,2020-06-17,-19.857
Antigua and Barbuda,ATG,2020-06-18,-20.286
Antigua and Barbuda,ATG,2020-06-19,-20.143
Antigua and Barbuda,ATG,2020-06-20,-19.429
Antigua and Barbuda,ATG,2020-06-21,-18.714
Antigua and Barbuda,ATG,2020-06-22,-19.429
