Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Sweden,Consumer Confidence,2007-04-30T00:00:00,117.9,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2007-05-31T00:00:00,111.1,Monthly,SWECCI,2020-01-29T08:06:00
Sweden,Consumer Confidence,2007-06-30T00:00:00,115.6,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2007-07-31T00:00:00,115.1,Monthly,SWECCI,2020-06-24T08:17:00
Sweden,Consumer Confidence,2007-08-31T00:00:00,111.7,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2007-09-30T00:00:00,107.7,Monthly,SWECCI,2020-01-29T08:06:00
Sweden,Consumer Confidence,2007-10-31T00:00:00,111.3,Monthly,SWECCI,2020-01-29T08:06:00
Sweden,Consumer Confidence,2007-11-30T00:00:00,107.7,Monthly,SWECCI,2020-03-26T09:32:00
Sweden,Consumer Confidence,2007-12-31T00:00:00,105.8,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2008-01-31T00:00:00,102.4,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2008-02-29T00:00:00,98,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2008-03-31T00:00:00,99.8,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2008-04-30T00:00:00,95.5,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2008-05-31T00:00:00,92,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2008-06-30T00:00:00,83.4,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2008-07-31T00:00:00,73.6,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2008-08-31T00:00:00,77.6,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2008-09-30T00:00:00,79.9,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2008-10-31T00:00:00,69,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2008-11-30T00:00:00,71,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2008-12-31T00:00:00,75.4,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2009-01-31T00:00:00,81.5,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2009-02-28T00:00:00,82.2,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2009-03-31T00:00:00,80.9,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2009-04-30T00:00:00,75.3,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2009-05-31T00:00:00,83.6,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2009-06-30T00:00:00,86.1,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2009-07-31T00:00:00,91.5,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2009-08-31T00:00:00,96.4,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2009-09-30T00:00:00,99.5,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2009-10-31T00:00:00,103.7,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2009-11-30T00:00:00,105.2,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2009-12-31T00:00:00,101.9,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2010-01-31T00:00:00,99.6,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2010-02-28T00:00:00,104.2,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2010-03-31T00:00:00,104.5,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2010-04-30T00:00:00,106.7,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2010-05-31T00:00:00,108.4,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2010-06-30T00:00:00,109.6,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2010-07-31T00:00:00,108.3,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2010-08-31T00:00:00,110.8,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2010-09-30T00:00:00,115.6,Monthly,SWECCI,2020-07-29T09:16:00
Sweden,Consumer Confidence,2010-10-31T00:00:00,112.6,Monthly,SWECCI,2020-01-29T08:06:00
Sweden,Consumer Confidence,2010-11-30T00:00:00,112.9,Monthly,SWECCI,2020-08-27T08:06:00
Sweden,Consumer Confidence,2010-12-31T00:00:00,113.6,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2011-01-31T00:00:00,112.9,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2011-02-28T00:00:00,111.4,Monthly,SWECCI,2020-09-29T07:41:00
Sweden,Consumer Confidence,2011-03-31T00:00:00,106.5,Monthly,SWECCI,2020-06-24T08:17:00
